167,穿越时空的少女,216268,8.6
168,冰川时代,325788,8.5
169,我是山姆,127374,8.8
170,猜火车,280694,8.5
171,人工智能,225015,8.6
172,头脑特工队,283810,8.7
173,被解救的姜戈,305389,8.6
174,爆裂鼓手,281450,8.6
175,未麻的部屋,121345,8.9
176,罗生门,151521,8.7
177,你的名字。,604583,8.4
178,浪潮,154493,8.7
179,无敌破坏王,244820,8.7
180,香水,320593,8.4
181,阿飞正传,250911,8.5
182,朗读者,308146,8.5
183,房间,192332,8.8
184,恐怖游轮,389772,8.4
185,模仿游戏,305852,8.6
186,可可西里,151702,8.7
187,一个叫欧维的男人决定去死,156875,8.8
188,忠犬八公物语,77285,9.1
189,魔女宅急便,234339,8.5
190,一次别离,152086,8.7
191,战争之王,199128,8.6
192,哪吒闹海,100581,8.9
193,完美陌生人,258279,8.6
194,谍影重重,227036,8.5
195,追随,95227,8.9
196,牯岭街少年杀人事件,127732,8.8
197,地球上的星星,101671,8.9
198,谍影重重2,189092,8.6
199,撞车,198013,8.6
200,黑客帝国3：矩阵革命,187894,8.6
201,惊魂记,101604,8.9
202,青蛇,264403,8.5
203,梦之安魂曲,129157,8.7
204,海街日记,171308,8.7
205,小萝莉的猴神大叔,212996,8.5
206,再次出发之纽约遇见你,208134,8.5
207,新龙门客栈,220869,8.5
208,步履不停,109568,8.8
209,源代码,463908,8.4
210,东京物语,61838,9.2
211,终结者2：审判日,167082,8.6
212,初恋这件小事,541816,8.3
213,疯狂的石头,378233,8.3
214,城市之光,54656,9.2
215,绿里奇迹,125304,8.7
216,爱在午夜降临前,139819,8.8
217,无耻混蛋,257195,8.5
218,末路狂花,121513,8.7
219,秒速5厘米,355905,8.3
220,这个男人来自地球,213215,8.5
221,勇闯夺命岛,162111,8.6
222,E.T. 外星人,181394,8.5
223,变脸,243849,8.4
224,碧海蓝天,115968,8.7
225,彗星来的那一夜,224669,8.4
226,卡萨布兰卡,142535,8.6
227,黄金三镖客,61173,9.1
228,发条橙,210617,8.5
229,聚焦,151102,8.8
230,血钻,160483,8.6
231,美国丽人,211689,8.5
232,海盗电台,181937,8.6
233,国王的演讲,389012,8.3
234,非常嫌疑犯,138590,8.6
235,荒野生存,145758,8.6
236,黑鹰坠落,140635,8.6
237,我爱你,70465,9.0
238,英国病人,193501,8.5
239,千钧一发,107186,8.7
240,遗愿清单,155996,8.5
241,2001太空漫游,115072,8.7
242,荒岛余生,159395,8.5
243,迁徙的鸟,56890,9.1
244,勇士,98046,8.9
245,枪火,115978,8.7
246,燕尾蝶,116846,8.6
247,叫我第一名,122313,8.6
